4,Вигнання ,"Перешкоджання, 4 рівень",1 дія,60 футів,"В, С, М (неприємний для цілі предмет)","Концентрація, до 1 хвилини","Ви намагаєтеся відправити одну істоту, яку ви бачите в межах відстані, на інший план існування. Ціль повинна зробити успішний рятівний кидок Харизми, інакше буде вигнана. Якщо ціль родом із того плану існування, на якому ви зараз перебуваєте, ви виганяєте її в безпечний напівплан. Поки ціль перебуває там, вона недієздатна. Ціль залишається там, поки діють чари, після чого повертається до місця, з якого зникла, або найближчого вільного простору, якщо її простір зайнятий. Якщо план існування, де ви перебуваєте, не рідний для цілі, вона виганяється з тихим потріскуванням, повертаючись на свій рідний план. Якщо чари завершаться менш ніж за хвилину, ціль з’являється у місці, з якого зникла, або найближчому вільному просторі, якщо її простір зайнятий. В іншому випадку ціль не повертається. На вищих рівнях. Коли ви створюєте ці чари з використанням чарунки 5 рівня або вищої, ви можете обрати ціллю одну додаткову істоту за кожну чарунку вище четвертої.","Паладин, клірик, заклинач, чаклун, чарівник"
4,Виготовлення ,"Перетворення, 4 рівень, чарівни",0,0,0,0,"Час створення: 10 хвилин  Відстань: 120 футів  Складові: В, С  Тривалість: Миттєво Ви перетворюєте сиру матерію на предмети з того ж матеріалу. Наприклад, ви можете виготовити дерев’яний міст із дерев’яної колоди, мотузку із клаптя прядива, одяг із льону чи вовни. Виберіть сировину, яку бачите в межах відстані. Ви можете виготовити предмет розміром “великий” або менший (що вміщується у 10-футовий куб, або вісім пов’язаних 5-футових кубів), за умови, що маєте достатньо сировини. Однак якщо ви працюєте із металом, каменем чи іншою мінеральною речовиною, виготовлений предмет може бути не більш ніж “середнім” (вміщується в один 5-футовий куб). Якість предмета, виготовленого чарами, збігається із якістю сировини. Ці чари не можуть створювати чи перетворювати істот чи магічні предмети. Ви також не можете використовувати їх для створення предметів, які зазвичай потребують високого рівня майстерності, таких як ювелірні прикраси, зброя, скло, обладунки, хіба що ви опанували відповідні ремісничі інструменти й використовуєте їх для створення таких предметів.","Перетворення, 4 рівень, чарівни"
2,Виявлення думок  ,"Віщування, 2 рівень",1 дія,На себе,"В, С, М (мідна монета)","Концентрація, до 1 хвилини","Поки діють чари, ви можете читати думки певних істот. Коли ви створюєте ці чари і потім використовуєте дію в кожен свій хід, поки чари не завершаться, ви можете зосередитися на свідомості будь-якої істоти, яку бачите в межах 30 футів. Якщо вибрана істота має Інтелект 3 або нижче, або якщо вона не може говорити жодною мовою, чари не діють на неї. Спочатку ви дізнаєтеся поверхневі думки істоти — що найбільше займає її свідомість у цей момент. Дією ви можете або перевести свою увагу на думки іншої істоти або спробувати зануритися глибше у свідомість тієї самої істоти. Якщо ви занурюєтесь глибше, ціль повинна зробити рятівний кидок Мудрості. У разі невдачі ви здобуваєте розуміння її мотивів (якщо такі є), її емоційний стан і щось, чим найбільше зайнята її свідомість (наприклад, те, що її непокоїть, кохання або ненависть). Якщо рятівний кидок успішний, чари завершуються. У будь-якому випадку ціль знає, що ви досліджували її свідомість, і якщо ви не перемкнули увагу на думки іншої істоти, ця істота може використати дію для зустрічної перевірки Інтелекту проти вас; якщо істота перемагає, чари завершуються. Усні питання, поставлені цільовій істоті, природно впливають на хід її думок, тому ці чари надзвичайно ефективні під час допитів. Ви також можете використовувати ці чари, щоб виявити присутність розумних істот, яких ви не бачите. Коли ви створюєте ці чари або дією під час дії чарів, ви можете спробувати виявити думки в межах 30 футів. Чари можуть пробитися через бар’єри, але їх блокують 2 фути каменю, 2 дюйми будь-якого металу, крім свинцю, або тонкий лист свинцю. Ви не можете виявити істот з Інтелектом 3 або нижче, а також тих, хто не говорить жодною мовою. Виявивши присутність істоти таким методом, ви можете читати її думки до кінця дії чарів, як описано вище, навіть якщо ви не бачите цю істоту, але вона повинна бути в межах 30 футів від вас.","Бард, заклинач, чарівник"
1,Виявлення зла та добра    ,"Віщування, 1 рівень",1 дія,На себе,"В, С","Концентрація, до 10 хвилин","Поки діють чари, ви знаєте, чи є в межах 30 футів навколо вас аберації, небожителі, стихійники, феї, погань або невмерлі, а також знаєте розташування цих істот. Так само ви знаєте, чи є в межах 30 футів навколо вас місце або предмет, який був магічно освячений або осквернений. Чари можуть проникнути крізь більшість бар’єрів, але їх блокує 1 фут каменю, 1 дюйм звичайного металу, тонкий лист свинцю або 3 фути дерева чи ґрунту.","Клірик, паладин"
1,Виявлення магі  ,"Віщування, 1 рівень (ритуал)",1 дія,На себе,"В, С","Концентрація, до 10 хвилин","Поки чари активні, ви відчуваєте присутність магії в межах 30 футів від себе. Якщо ви за допомогою цих чарів відчули присутність магії, ви можете дією побачити слабку ауру навколо видимої істоти або предмета, що несе на собі магію, а також дізнатися про школу цієї магії, якщо вона є. Чари можуть проникнути крізь більшість бар’єрів, але їх блокує 1 фут каменю, 1 дюйм звичайного металу, тонкий лист свинцю або 3 фути дерева або ґрунту.","Бард, клірик, друїд, паладин, рейнджер, заклинач, чарівник"
1,Виявлення отрут і хвороб    ,"Віщування, 1 рівень (ритуал)",1 дія,На себе,"В, С, М (тисовий листок)","Концентрація, до 10 хвилин","Поки діють чари, ви можете відчувати присутність та розташування отрут, отруйних істот та хвороб у межах 30 футів від вас. Ви також розпізнаєте вид отрути, отруйної істоти чи хвороби. Чари можуть пробитися через більшість бар’єрів, але їх блокує 1 фут каменю, 1 дюйм звичайного металу, тонкий лист свинцю або 3 фути дерева.","Клірик, друїд, паладин, рейнджер"
3,Вогнекуля ,"Втілення, 3 рівень",1 дія,150 футів,"В, С, М (Крихітна кулька з гуано кажана та сірка)",Миттєво,"Яскравий промінь світла злітає з вашого вказівного пальця у точку, яку ви обираєте в межах відстані, а потім із глухим ревом розквітає у вибух полум’я. Кожна істота у сфері з радіусом 20 футів із центром у цій точці повинна зробити рятівний кидок Спритності. Ціль отримує 8к6 ушкоджень вогнем у разі невдачі, або половину цих ушкоджень за умови успішного ряткидка. Вогонь огортає кути. Він підпалює в цій області займисті предмети, які ніхто не тримає при собі. На вищих рівнях. Коли ви створюєте ці чари з використанням чарунки 4 рівня або вищої, ушкодження зростають на 1к6 за кожну чарунку вище третьої.","Заклинач, чарівник"
7,Вогнекуля відкладено ді   ,"Втілення, 7 рівень",1 дія,150 футів,"В, С, М (крихітна кулька з гуано кажана та сірка)","Концентрація, до 1 хвилини","Промінь жовтого світла злітає з вашого вказівного пальця та ущільнюється, затримуючись у вибраній точці в межах відстані як сяюча намистина, поки діють чари. Коли чари завершуються - чи через вашу втрату концентрації, чи тому що ви так вирішили - намистина з низьким ревом розцвітає у вибух полум’я, яке огинає кути. Кожна істота у сфері з радіусом 20 футів із центром у цій точці мають зробити рятівний кидок Спритності. У разі невдачі істота отримує ушкодження вогнем, що дорівнює накопиченій силі ушкоджень чарів, або половину цих ушкоджень у разі успішного ряткидка. Базові ушкодження від цих чарів складають 12к6. Наприкінці кожного вашого ходу, поки намистина ще не здетонувала, ушкодження збільшуються на 1к6. Якщо до сяючої намистини торкнутися, перш ніж завершиться відлік часу, істота, котра доторкнулася до неї, повинна зробити рятівний кидок Спритності. У випадку невдачі чари миттєво закінчуються, змушуючи намистину вибухнути. У разі успіху істота може відкинути намистину на 40 футів. Коли вона влучає в істоту чи твердий предмет, чари завершуються, і намистина вибухає. Вогонь ушкоджує предмети в області впливу й підпалює займисті предмети, які ніхто не несе й не носить. На вищих рівнях. Коли ви створюєте ці чари з використанням чарунки 8 рівня або вищої, базові ушкодження зростають на 1к6 за кожну чарунку вище сьомої.","Заклинач, чарівник"
1,Вогники фей  ,"Втілення, 1 рівень",0,0,0,0,"Час створення: 1 дія  Відстань: 60 футів  Складові: В  Тривалість: Концентрація, до 1 хвилини Кожен предмет у 20-футовому кубі в межах відстані окреслений синім, зеленим чи фіолетовим світлом (на ваш вибір). Будь-яка істота, що перебувала в цій області під час створення чарів, також окреслена світлом, якщо вона провалила рятівний кидок Спритності. Поки тривають чари, предмети та вражені істоти випромінюють тьмяне світло у радіусі 10 футів. Будь-які кидки атаки проти враженої істоти чи предмета мають перевагу, якщо нападник може їх бачити, а вражена істота чи предмет не отримують привілеїв від того, що є невидимими.","Бард, друї"
0,Вогняний заряд  ,"Втілення, замовляння",1 дія,120 футів,"В, С",Миттєва,"Ви жбурляєте іскру вогню в істоту чи предмет у межах відстані. Здійсніть далекобійну атаку чарами по цілі. У випадку влучання ціль отримує 1к10 ушкоджень вогнем. Займисті предмети, по яких влучили ці чари, загоряються, якщо їх ніхто не тримає при собі. Ушкодження цих чарів зростають на 1к10, коли ви досягаєте 5 рівня (2к10), 11 рівня (3к10) та 17 рівня (4к10).","Заклинач, чарівник"
7,Вогняний шторм  ,"Втілення, 7 рівень",1 дія,150 футів,"В, С",Миттєво,"Шторм із язиків ревучого полум’я з’являється у вибраному вами місці в межах відстані. Область шторму складається з десяти 10-футових кубів, які ви можете розташувати, як вам заманеться. Кожен куб повинен мати принамйні одну грань, що прилягає до грані іншого куба. Кожна істота в цій області повинна зробити рятівний кидок Спритності. Вона отримує 7к10 ушкоджень вогнем у разі невдачі, або половину цих ушкоджень у разі успіху. Вогонь пошкоджує предмети в цій області та підпалює займисті предмети, які ніхто не тримає при собі. Ви можете обрати, щоб чари не впливали на рослинність у цій області.","Клірик, друїд, заклинач"
4,Вогняний щит  ,"Втілення, 4 рівень",1 дія,На себе,"В, С, М (трохи фосфору або світлячок)",10 хвилин,"Тонкі жмутки полум’я огортають ваше тіло, поки діють чари, і випромінюють яскраве світло в радіусі 10 футів та тьмяне світло - ще на 10 футів. Ви можете завершити чари раніше, скинувши їх дією. Полум’я надає вам теплий або холодний щит, за вашим вибором. Теплий щит дає вас стійкість до ушкоджень холодом, а холодний щит - стійкість до ушкоджень вогнем. Крім того, щоразу, як істота в межах 5 футів від вас влучає по вас атакою ближнього бою, щит вибухає полум’ям. Нападник отримує 2к8 ушкоджень вогнем від теплого щита, або 2к8 ушкоджень холодом від холодного щита.",Чарівник
7,Воскресіння ,"Некромантія, 7 рівень",1 година,Дотик Складові:,"В, С, М (діамант вартістю мінімум 1000 зм, який поглинається чарами)",Миттєво,"Ви торкаєтеся мертвої істоти, яка померла не давніше, ніж століття тому, не від старості та не є невмерлою. Якщо її душа вільна і згодна, ціль повертається до життя з усіма своїми пунктами здоров’я. Ці чари нейтралізують будь-яку отруту та виліковують звичайні хвороби, від яких істота страждала на час смерті. Але ці чари, однак, не видаляють магічні хвороби, прокляття та подібні ефекти; якщо їх не прибрати до створення чарів, ці ефекти починають діяти, коли істота повертається до життя. Ці чари закривають усі смертельні рани і відновлюють втрачені частини тіла. Повернення з мертвих є випробуванням. Ціль отримує штраф -4 до всіх кидків атаки, рятівних кидків та перевірок здібностей. Кожен раз, як вона завершує тривалий відпочинок, значення штрафу зменшується на 1, поки він не мине. Створення цих чарів, щоб відновити життя істоти, яка померла один рік тому або давніше, значно вас напружує. Поки ви не завершите тривалий відпочинок, ви не можете створювати чари й маєте перешкоду на всі кидки атаки, перевірки здібностей і рятівні кидки.","Бард, клірик"
8,Впевненість ,"Перетворення, 8 рівень",1 дія,На себе,В,1 година,"Поки чари не завершаться, ви можете замінювати на 15 результат свого кидка на перевірку Харизми. Крім того, що б ви не говорили, магія, яка визначає, чи говорите ви правду, визначає, що ви правдиві.","Бард, чаклун"
2,Віддзеркалення  ,"Ілюзія, 2 рівень",1 дія,На себе,"В, С",1 хвилина,"Три ваші ілюзорні двійники з’являються у вашому просторі. Поки чари не завершаться, двійники рухаються з вами та повторюють ваші дії, змінюючи положення так, щоб неможливо було визначити, котрий із образів є реальним. Ви можете використати свою дію, щоб відпустити ілюзорних двійників. Щоразу, коли істота націлюється на вас атакою, поки діють чари, киньте к20, щоб визначити, чи не націлена атака натомість на одного із ваших двійників. Якщо ви маєте трьох двійників, вам потрібно викинути 6 або більше, щоб змінити ціль атаки на двійника. Із двома двійниками ви повинні викинути 8 або більше. Із одним двійником ви повинні викинути 11 або більше. КС двійника дорівнює 10 + ваш модифікатор Спритності. Якщо атака влучає по двійнику, він руйнується. Двійника можна зруйнувати, лише влучивши по ньому атакою. Він ігнорує усі інші ушкодження та ефекти. Чари завершуються, коли всі троє двійників зруйновані. Істота не піддається цим чарам, якщо вона не може бачити, якщо вона покладається на інші чуття, замість зору, наприклад, сліпий зір, або якщо вона може розпізнавати ілюзію як підробку, наприклад, істинним зором.","Заклинач, чаклун, чарівник"
3,Відродження ,"Некромантія, 3 рівень",1 дія,Дотик Складові:,"В, С, М (діамант вартістю 300 зм, який поглинається чарами)",Миттєво,"Ви торкаєтеся істоти, яка померла впродовж останньої хвилини. Ця істота повертається до життя з 1 пунктом здоров’я. Ці чари не можуть повернути до життя істоту, яка померла через старий вік, і не можуть відновити жодних частин тіла.","Клірик, паладин"
4,Вірний гончак  ,"З’явлення, 4 рівень",0,0,0,0,"Час створення: 1 дія  Відстань: 30 футів  Складові: В, С, М (крихітний срібний свисток, шматочок кістки та нитка)  Тривалість: 8 годин У незайнятому просторі, який ви можете бачити в межах відстані, з’являється примарний сторожовий пес, і залишається там на всю тривалість чарів, поки ви не відпустите його дією, або поки не відійдете від нього більш як на 100 футів. Гончак невидимий для всіх істот, крім вас, і йому неможливо завдати пошкоджень. Коли істота розміром “маленька” або більша підходить на 30 футів до гончака, не сказавши спочатку пароля, який ви встановили під час створення чарів, гончак починає голосно гавкати. Гончак бачить невидимих істот і може бачити в Етерний план. Він ігнорує ілюзії. На початку кожного вашого ходу гончак намагається вкусити одну з ворожих до вас істот на відстані 5 футів від себе. Бонус атаки гончака дорівнює вашому модифікатору чаротворчої характеристики + ваш бонус досвіду. У випадку влучання гончак завдає 4к8 колотих пошкоджень.",Чарівни
2,Вічне полумя  ,"Втілення, 2 рівень",1 дія,Дотик Складові:,"В, С, М (рубіновий пил вартістю 50 зм, який поглинається чарами)",Поки не розвіють,"Полум’я, яскраве, як смолоскип, виникає з предмета, якого ви торкаєтеся. Ефект виглядає, як звичайне полум’я, але не виділяє тепла та не споживає кисень. Вічне полум’я можна накрити або сховати, але не загасити чи поглинути.","Клірик, чарівник."
4,Віщування ,"Віщування, 4 рівень (ритуал)",1 дія,На себе,"В, С, М (ладан та пожертвування, яке відповідає вашій релігії, які разом варті щонайменше 25 зм і які поглинаються чарами)",Миттєво,"Ваша магія і пожертвування зв’язують вас із богом чи його слугою. Ви ставите єдине запитання щодо конкретної цілі, події чи діяльності, яка має відбутися протягом 7 днів. Майстер дає на це чесну відповідь. Відповідь може бути короткою фразою, загадковою римою або прикметою. Чари не враховують жодних можливих обставин, які можуть змінити результат, наприклад, створення додаткових чарів або втрату чи появу союзника. Якщо ви створюєте ці чари двічі або більше разів до завершення свого наступного тривалого відпочинку, є накопичувальний 25% шанс для кожного чарування після першого, що ви отримаєте випадковий знак. Майстер робить кидок таємно.",Клірик
3,Газоподібна форма  ,"Перетворення, 3 рівень",1 дія,Дотик Складові:,"В, С, М (клапоть марлі та завій диму)","Концентрація, до 1 години","Ви перетворюєте згоду істоту, до якої торкаєтеся, разом із усім, що є при ній, на туманну хмаринку, поки діють чари. Чари завершуються, якщо пункти здоров’я істоти знижуються до 0. Чари не діють на безтілесних істот. Перебуваючи в цій формі, єдиним способом переміщення цілі є швидкість польоту 10 футів. Ціль може увійти та зайняти простір іншої істоти. Ціль має стійкість до немагічних ушкоджень і має перевагу на рятівні кидки Сили, Спритності та Статури. Ціль може проходити крізь маленькі дірки, вузькі отвори та навіть крізь щілини, тоді як рідина для неї вважається твердою поверхнею. Ціль не може впасти й залишається завислою в повітрі, навіть якщо її приголомшили чи зробили недієздатною іншим чином. Перебуваючи у формі туманної хмари, ціль не може говорити чи користуватися предметами, і будь-які предмети, які є при ній, неможливо впустити, використати чи взаємодіяти будь-яким іншим чином. Ціль не може атакувати чи чарувати.","Заклинач, чаклун, чарівник"
1,Герозм ,"Зачарування, 1 рівень",1 дія,Дотик Складові:,"В, С","Концентрація, до 1 хвилини","Згодна істота, якої ви торкаєтеся, наповнюється хоробрістю. Поки чари не завершаться, істота має імунітет до наляканості та на початку кожного свого ходу здобуває тимчасові пункти здоров’я, що дорівнюють модифікатору вашої чаротворчої здібності. Коли чари завершуються, істота втрачає увесь залишок тимчасових пунктів здоров’я, отриманих від цих чарів. На вищих рівнях. Коли ви створюєте ці чари з використанням чарунки 2 рівня або вищої, ви можете націлитися на одну додаткову істоту за кожну чарунку вище першої.","Бард, паладин"
1,Громова хвиля ,"Втілення, 1 рівень",1 дія,На себе,"В, С",Миттєво,"Хвиля громової сили розходиться від вас. Кожна істота в 15-футовому кубі, що походить від вас, повинна зробити рятівний кидок Статури. У разі невдачі істота отримує 2к8 ушкоджень громом і відштовхується на 10 футів геть від вас. У разі успіху істота отримує тільки половину ушкоджень і не відштовхується. Крім того, незакріплені предмети, які опинилися повністю в області чарів, автоматично виштовхуються на 10 футів геть від вас, і громовий гуркіт чутно на 300 футів. На вищих рівнях. Коли ви створюєте ці чари з використанням чарунки 2 рівня або вищої, ушкодження зростають на 1к8 за кожну чарунку вище першої.","Бард, друїд, заклинач, чарівник"
4,Гігантська комаха  ,"Перетворення, 4 рівень",1 дія,30 футів,"В, С","Концентрація, до 10 хвилин","Ви перетворюєте до 10 багатоніжок, 3 павуків, 5 ос або 1 скорпіона у межах відстані на гігантську версію їхньої природної форми, поки діють чари. Багатоніжка стає гігантською багатоніжкою, павук — гігантським павуком, оса — гігантською осою, а скорпіон — гігантським скорпіоном. Кожна істота підкорюється вашим усним наказам, а в бою вони діють у ваш хід в кожному раунді. Майстер має статистику цих істот і визначає їхні дії та переміщення. Істота зберігає свій гігантський розмір, поки діють чари, поки її пункти здоров’я не впадуть до 0 або поки ви не використаєте дію, що завершити ефект. Майстер може дозволити вам вибрати інші цілі. Наприклад, якщо ви перетворюєте бджолу, її гігантська версія може мати таку саму статистику, як гігантська оса.",Друїд
3,Гіпнотичний візерунок  ,"Ілюзія, 3 рівень",1 дія,120 футів,"С, М (розжарена паличка ладану або кришталевий флакон, наповнений фосфоресцентним матеріалом)","Концентрація, до 1 хвилини","Ви створюєте звивистий візерунок кольорів, який переплітається в повітрі всередині 30-футового куба в межах відстані. Візерунок з’являється на мить і зникає. Кожна істота в цій області, що бачить візерунок, повинна зробити рятівний кидок Мудрості. У разі невдачі істота стає причарованою на час дії чарів. Поки істота причарована цими чарами, вона недієздатна й має швидкість 0. Чари для враженої істоти завершуються, якщо вона отримує будь-які ушкодження, або якщо хтось інший використає дію, щоб вивести істоту зі ступору.","Бард, заклинач, чаклун, чарівник"
4,Двері між вимірами  ,"З’явлення, 4 рівень",1 дія,500 футів,В,Миттєво,"Ви телепортуєтеся зі свого поточного розташування до будь-якого іншого місця в межах відстані. Ви опиняєтеся саме в обраному місці. Це може бути місце, яке ви бачили, яке ви уявляєте, або яке ви можете описати, вказавши відстань та напрямок, наприклад, “200 футів прямо вниз” або “на північний захід, угору під кутом 45 градусів, на 300 футів”. Ви можете брати з собою речі, якщо їхня вага не перевищує вашу вантажність. Ви також можете взяти одну згодну істоту, чий розмір такий, як ваш, або менший, і яка має при собі спорядження, що не перевищує її вантажність. Під час створення чарів істота має бути в межах 5 футів від вас. Якщо ваше місце призначення уже зайняте предметом або істотою, ви та будь-яка істота, що переміщується разом із вами, отримуєте по 4к6 ушкоджень чистою енергією, і чарам не вдається вас телепортувати.","Бард, заклинач, чаклун, чарівник"
3,Денне світло ,"Втілення, 3 рівень",1 дія,60 футів,"В, С",1 година,"З точки, вибраної вами в межах дистанції, поширюється сфера світла з радіусом 60 футів. Це сфера яскравого світла, і вона випромінює тьмяне світло ще на 60 футів. Якщо обрана вами точка знаходиться на предметі, який ви тримаєте або на предметі, який не несуть і не носять, світло виходить з цього предмета і переміщується разом з ним. Якщо повністю накрити джерело світла непрозорим предметом, наприклад, чашею або шоломом, світло буде заблоковане. Якщо будь-яка частина області цих чарів накладається на область темряви, створеної чарункою 3 рівня або меншою, то чари, які створили темряву, розвіюються.","Клірик, друїд, паладин, рейнджер, заклинач"
5,Деревний шлях  ,"З’явлення, 5 рівень",1 дія,На себе,"В, С","Концентрація, до 1 хвилини","Ви набуваєте здатності входити в дерево й переміщуватися всередині нього до іншого дерева того ж самого виду в межах 500 футів. Обидва дерева повинні бути живими і принаймні такого ж розміру, як і ви. Ви повинні витратити 5 футів свого переміщення, щоб увійти в дерево. Ви негайно дізнаєтеся усі інші дерева цього виду в межах 500 футів, і ви можете за рахунок здійсненого переміщення під час входу в дерево або переміститися до одного з інших дерев, або вийти з того дерева, у яке ви ввійшли. Ви з’являєтеся у місці за власним вибором у межах 5 футів від бажаного дерева, використавши ще 5 футів переміщення. Якщо у вас залишилося недостатньо переміщення, ви з’являєтеся за 5 футів від дерева, до якого увійшли. Ви можете використовувати цю здатність транспортації в кожен раунд, поки діють чари. Ви повинні завершувати кожен хід ззовні дерева.","Друїд, рейнджер"
0,Дивотворство ,"Перетворення, замовляння",1 дія,30 футів,В,До 1 хвилини,"Ви являєте незначне диво, знак надприродної сили, в межах відстані. Ви створюєте в межах відстані один із наступних магічних ефектів: Якщо ви створюєте чари кілька разів, то можете одночасно активувати до трьох однохвилинних ефектів, і ви можете припинити такий ефект дією.",Клірик
3,Дихання водою  ,"Перетворення, 3 рівень (ритуал)",1 дія,30 футів,"В, С, М (коротка очеретинка або соломинка)",24 години,"Ці чари наділяють до 10 згодних істот, яких ви можете бачити в межах відстані, здатністю дихати під водою, поки чари не завершаться. Істоти під дією чарів зберігають свій нормальний спосіб дихання.","Друїд, рейнджер, заклинач, чарівник"
1,Доброягода ,"Перетворення, 1 рівень",1 дія,Дотик Складові:,"В, С, М (гілочка омели)",Миттєво,"У вашій руці з’являється до 10 ягід, наповнених магією, поки діють чари. Істота може використати дію, щоб з’їсти одну ягоду. З’їдання ягоди відновлює 1 пункти здоров’я, і ягода є достатньо поживною, щоб підтримувати істоту впродовж одного дня. Ягоди втрачають свою силу, якщо їх не з’їсти упродовж 24 годин після створення чарів.","Друїд, рейнджер"
1,Дружба з тваринами  ,"Зачарування, 1 рівень",1 дія,30 футів,,24 години,"Ці чари дозволяють вам переконати звіра, що ви не хочете йому зла. Виберіть звіра, якого ви бачите в межах відстані. Він має бачити та чути вас. Якщо Інтелект звіра 4 або вище, чари провалюються. В іншому випадку звір повинен зробити успішний рятівний кидок Мудрості або буде причарований вами, поки діють чари. Якщо ви чи хтось із ваших супутників шкодить звіру, чари закінчуються. На вищих рівнях. Коли ви створюєте ці чари з використанням чарунки 2 рівня або вищої, ви впливаєте на одного додаткового звіра за кожну чарунку вище першої.","Бард, друїд, рейнджер"
2,Друзки ,"Втілення, 2 рівень",1 дія,60 футів,"В, С, М (шматочок слюди)",Миттєво,"Раптовий голосний дзвін, болісно сильний, виривається з вибраної вами точки в межах відстані. Кожна істота у сфері з радіусом 10 футів із центром у цій точці повинна зробити рятівний кидок Статури. Істота отримує 3к8 ушкоджень громом у разі невдачі, або половину цих ушкоджень за умови успіху. Істота, створена з неорганічного матеріалу, такого як камінь, кристал чи метал, має перешкоду на цей рятівний кидок. Немагічні предмети, які ніхто не тримає при собі, також отримують ушкодження в області чарів. На вищих рівнях. Коли ви створюєте ці чари з використанням чарунки 3 рівня або вищої, ушкодження зростають на 1к8 за кожну чарунку вище другої.","Бард, заклинач, чаклун, чарівник"
